@id,rdf:type,owl:inverseOf,rdfs:label,rdfs:comment,rdfs:domain
togaf:logicalTechnologyComponentIsDecomposedByLogicalTechnologyComponent,owl:ObjectProperty,,is decomposed by,,
togaf:logicalTechnologyComponentIsDependentOnLogicalTechnologyComponent,owl:ObjectProperty,,is dependent on,,
togaf:measureSetsPerformanceCriteriaForObjective,owl:ObjectProperty,togaf:objectiveIsTrackedAgainstMeasure,sets performance criteria for,,
togaf:measureSetsPerformanceCriteriaForBusinessService,owl:ObjectProperty,togaf:businessServiceIsTrackedAgainstMeasure,sets performance criteria for,,
togaf:measureDecomposesMeasure,owl:ObjectProperty,togaf:measureIsDecomposedByMeasure,decomposes,,
togaf:measureIsDecomposedByMeasure,owl:ObjectProperty,,is decomposed by,,
togaf:objectiveRealizesGoal,owl:ObjectProperty,,realizes,,
togaf:objectiveIsTrackedAgainstMeasure,owl:ObjectProperty,,is tracked against,,
togaf:objectiveDecomposesObjective,owl:ObjectProperty,togaf:objectiveIsDecomposedByObjective,decomposes,,
togaf:objectiveIsDecomposedByObjective,owl:ObjectProperty,,is decomposed by,,
togaf:organizationUnitContainsActor,owl:ObjectProperty,,contains,,
togaf:organizationUnitUsesBusinessCapability,owl:ObjectProperty,,uses,,
togaf:organizationUnitIsMotivatedByDriver,owl:ObjectProperty,,is motivated by,,
togaf:organizationUnitOwnsFunction,owl:ObjectProperty,,owns,,
togaf:organizationUnitProducesProduct,owl:ObjectProperty,togaf:productIsProducedByOrganizationUnit,produces,,
togaf:organizationUnitInvolvesProcess,owl:ObjectProperty,togaf:processInvolvesOrganizationUnit,involves,,
togaf:organizationUnitOwnsAndGovernsBusinessService,owl:ObjectProperty,togaf:businessServiceIsOwnedAndGovernedByOrganizationUnit,owns and governs,,
togaf:organizationUnitDecomposesOrganizationUnit,owl:ObjectProperty,togaf:organizationUnitIsDecomposedByOrganizationUnit,decomposes,,
togaf:organizationUnitIsDecomposedByOrganizationUnit,owl:ObjectProperty,,is decomposed by,,
togaf:physicalApplicationComponentRealizesLogicalApplicationComponent,owl:ObjectProperty,,realizes,,
togaf:physicalApplicationComponentIsUsedByPhysicalDataComponent,owl:ObjectProperty,togaf:physicalDataComponentUsesPhysicalApplicationComponent,is used by,,
togaf:physicalApplicationComponentIsServedByPhysicalTechnologyComponent,owl:ObjectProperty,togaf:physicalTechnologyComponentServesPhysicalApplicationComponent,is served by,,
togaf:physicalApplicationComponentDecomposesPhysicalApplicationComponent,owl:ObjectProperty,togaf:physicalApplicationComponentIsDecomposedByPhysicalApplicationComponent,decomposes,,
togaf:physicalApplicationComponentIsDecomposedByPhysicalApplicationComponent,owl:ObjectProperty,,is decomposed by,,
togaf:physicalApplicationComponentCommunicatesWithPhysicalApplicationComponent,owl:SymmetricProperty,,communicates with,,
togaf:physicalDataComponentRealizesLogicalDataComponent,owl:ObjectProperty,,realizes,,
togaf:physicalDataComponentDecomposesPhysicalDataComponent,owl:ObjectProperty,togaf:physicalDataComponentIsDecomposedByPhysicalDataComponent,decomposes,,
togaf:physicalDataComponentIsDecomposedByPhysicalDataComponent,owl:ObjectProperty,,is decomposed by,,
togaf:physicalDataComponentUsesPhysicalApplicationComponent,owl:ObjectProperty,,uses,,
togaf:physicalTechnologyComponentServesPhysicalApplicationComponent,owl:ObjectProperty,,serves,,
togaf:physicalTechnologyComponentRealizesLogicalTechnologyComponent,owl:ObjectProperty,,realizes,,
togaf:physicalTechnologyComponentDecomposesPhysicalTechnologyComponent,owl:ObjectProperty,togaf:physicalTechnologyComponentIsDecomposedByPhysicalTechnologyComponent,decomposes,,
togaf:physicalTechnologyComponentIsDecomposedByPhysicalTechnologyComponent,owl:ObjectProperty,,is decomposed by,,
togaf:physicalTechnologyComponentIsDependentOnPhysicalTechnologyComponent,owl:ObjectProperty,,is dependent on,,
togaf:processIsGuidedByControl,owl:ObjectProperty,,is guided by,,
togaf:processResolvesAndOrGeneratesEvent,owl:ObjectProperty,,resolves and/or generates,,
togaf:processDecomposesAndOrOrchestratesFunction,owl:ObjectProperty,,decomposes and/or orchestrates,,
togaf:processInvolvesOrganizationUnit,owl:ObjectProperty,,involves,,
togaf:processProducesProduct,owl:ObjectProperty,togaf:productIsProducedByProcess,produces,,
togaf:processIsPerformedByAndOrInvolvesRole,owl:ObjectProperty,togaf:rolePerformsAndOrParticipatesInProcess,is performed by and/or involves,,
togaf:processDecomposesAndOrOrchestratesBusinessService,owl:ObjectProperty,togaf:businessServiceIsRealizedByAndOrSupportsProcess,decomposes and/or orchestrates,,
togaf:processDecomposesProcess,owl:ObjectProperty,togaf:processIsDecomposedByProcess,decomposes,,
togaf:processIsDecomposedByProcess,owl:ObjectProperty,,is decomposed by,,
